lunch|n. 午餐|The dishes for lunch were really rich and tasty.|午餐的菜肴真是丰盛可口。||【辨析】bunch  n.束，串，扎；launch v.发动，发起；【谐音】浪吃(lunch)"：午餐时放松享受美食。
pollutant|n. 污染物|The government has introduced new policies to reduce air pollutant s.|政府出台了新的政策来减少空气污染物。|environmental pollutant 环境污染物
soda|n. 苏打水；汽水|I have to drink soda instead of alcohol this time since I will pick up my girlfriend later.|我这次只能喝汽水，不喝酒了，因为一会要去接我女朋友。|soda green 苏打绿|【辨析】straw n.（干燥的）麦秆，稻草；suck  v.吸，吮，啜；foam  n.泡沫，气泡；【谐音】苏打(soda)"：发音类似于"沙发"(sofa)，指碳酸饮料。
position|n. 位置；姿势；处境；立场；职位；v. 安置，使处于|Where would be the best position for the lights?|这些灯装在什么位置最好？|in position 就位；in no position todo 没有权利做..；bargaining position 谈判地位，讨价还价的地位|【辨析】positive    adj.乐观的，有信心的；composition n.成分构成，成分；option      n.可选择的事物；situation   n.情况，形势；location    n.地点，位置
disposal|n. 清除；处理；丢弃|Many countries have improved their sanitation with improved standards of waste disposal .|许多国家通过改进废物处理标准改善了卫生条件。|at one's disposal 由。。。。来处置；at someone's disposal 由某人处理；at sb's disposal 任由某人处置|【辨析】dispose     v.处理，放置，安排；proposal    n.提议，建议；disposition n.性情，性格；deposit     v.放下，放置
lemonade|n. 柠檬饮料|Will you have tea, coffee or lemonade ?|你喝茶、 咖啡还是柠檬饮料?||【辨析】lemon n.柠檬；【谐音】那么累的(lemonade)"：那么累的时候就喝柠檬饮料解暑。
tractor|n. 拖拉机，牵引车|A tractor is needed to pull the car out of the mud.|需要一辆拖拉机把汽车从泥里拉出来。||【辨析】tract      n.（尤指宣扬宗教、伦理或政治的）短文，传单，小册子；contractor n.承包商，立约人；track      n.小道，小径；trait      n.（人的个性的）特征，特点；trace      v.查出，发现，追踪；trailer    n.拖车，挂车；attract    v.吸引；distract   v.使分心，使转移注意力；【谐音】踹开它(tractor)"：拖拉机要踹了才能开动。
contamination|n. 污染|We should try to eliminate the oil contamination .|我们应该设法消除油类污染。||【辨析】containment n.控制，抑制；contain     v.包含，容纳；【谐音】看他们弄啥(contamination)"：看他们搞得这么脏乱，造成了污染。
northwestern|adj. 西北的|The wind is in the northwestern direction.|这阵风来自西北方。||【辨析】southwestern adj.西南部的；northwest    n.西北方；northeastern adj.在东北的；northeast    n.东北方，东北部；southeastern adj.东南方的；southwest    n.西南方；【谐音】N为北(northwestern)"：指西北方的。
violence|n. 暴力，暴行；（言行的）激烈|Ten people were injured in the violence .|有10人在这起暴力事件中受伤。|domestic violence 家庭暴力|【辨析】violent   adj.暴力的；violin    n.小提琴；violate   v.违反，违背；silence   n.寂静，无声；violation n.（对法律、协议、原则等的）违背，违反
juror|n. 陪审员|The jurors had reached verdicts on which they all agreed.|陪审员们已经作出了全体一致的裁决。||【辨析】jury   n.陪审团；junior adj.年龄较小的；【谐音】救弱(juror)"：陪审员的使命是维护正义。
mental|adj. 精神的；智力的；发疯的；在脑中进行的|Do you have a mental picture of what it will look like?|在你脑子里它会是什么样子？|mental powers 智力|【辨析】manual      adj.手工的，体力的；metal       n.重金属音乐；mention     v.提到，谈到；mutual      adj.相互的，彼此的；medal       n.奖牌，勋章，纪念章；moral       adj.有关道德的；fundamental adj.根本的，基本的；material    n.衣料，布料；model       n.模型；【谐音】馒头(mental)"：精神食粮。
miss|n. 未击中，错过；（Miss）女士，小姐；v. 未击中；错过；赶不上；思念|How many goals has he missed this season?|这个赛季他射丢了多少个球？|miss the boat 错失良机；miss out遗漏；错过；省略；A miss is as good as a mile. 1. 死里逃生总是生。 2. 小错大错终是错。；miss the point 没有抓住要领|【辨析】mess    n.肮脏，杂乱；missing adj.找不到的，丢失的；missile n.导弹，飞弹；mission n.（尤指赴他国的）使命，重要任务；dismiss v.开除，解雇
scholarly|adj. 学术（性）的；勤奋好学的|His essay is scholarly but intelligible.|他的文章学术性强，但易于理解。||【辨析】scholar     n.学者；scholarship n.奖学金；scholastic  adj.（成就或能力）学业的，学术的
absence|n. 缺席；不存在，缺乏|I took over her work in her absence .|她不在时我接替了她的工作。|absence of mind 心不在焉；in the absence of 由于缺乏..；absence from 缺席 in the absence of 在(人)不在场时 在物缺乏时 在缺乏(或没有).....的情况下|【辨析】absent   adj.缺勤的，缺席的；presence n.出席，存在；attend   v.随同，陪同；【谐音】俺不绅士(absence)"：因为不够绅士，所以选择缺席。
enjoyment|n. 享受；愉快（之事）|He spoiled my enjoyment of reading by chattering all the time.|他总是喋喋不休，破坏了我读书的乐趣。|emphasis on 重点在……|【辨析】enjoyable adj.令人愉快的，有乐趣的；amusement n.开心，娱乐；【谐音】乐事(enjoy) 们(ment)"：吃薯片是一种享受和乐趣。
crop|v. 修剪；收割；n. 庄稼，作物；产量|Sugar is an important crop on the island.|糖料作物是这个岛上的一种重要作物。|cash crop 经济作物；a crop of 一堆 许多；crop up 突然出现；corp hair 平头；crop circle 麦田怪圈|【辨析】chop  v.剁，砍，劈；cop   n.警察；creep v.爬行，匍匐；corps n.特种部队；cope  v.对付，处理；corn  n.谷物，谷粒；reap  v.获得，收获；【谐音】靠谱(crop)"：今年作物的收成真靠谱。
envy|v. 羡慕，忌妒；n. 羡慕；忌妒（的对象）|She has always envied my success.|她一直忌妒我的成功。|be jealous of 嫉妒；envy of the world 为世所羡；full of envy 非常嫉妒|【辨析】navy    n.海军；evil    adj.恶毒的，邪恶的；envious adj.羡慕的，忌妒的；【谐音】安慰(envy)"：我要安慰他，免得他嫉妒我。；【变形】过去式：envied；过去分词：envied
viewpoint|n. 观点；角度|The teacher encourages students to think of the issue from different viewpoints .|这位老师鼓励学生从不同的视角考虑这个问题。||【谐音】唯有破译它(viewpoint)"：只有破译它才能知道他的看法。
merit|n. 优点，美德；价值|The plan is entirely without merit .|这个计划毫无价值。|merit aid 奖学金；merit pay 绩效工资；merit one's attention 值得注意|【辨析】melt   v.（使）熔化，融化；metric adj.米制的，公制的
naturally|adv. 自然而然地；天然地；本能地|My hair is not permed and it curls naturally .|我的头发生来就是卷的，不是烫的。|naturally wake up 自然醒；take medicine 服用药物|【辨析】natural adj.天然的，非人为的；nature  n.大自然，自然界；neutral adj.中立的，不偏不倚的
arbitrarily|adv. 武断地；专横地；任意地|The leaders of the groups were chosen arbitrarily .|团队的领导者是任意挑选出来的。
reserve|v. 预约；为…保留；保留（权利）；n. 储备（量）；储备金；保护区|Please reserve a seat for me.|请为我预定一个座位。|reserve one's opinion 保留意见；in reserve 备用的，预备的 have a little money in reserve储存一些钱；draw on one's reserve 取出某人的存款；reserve sb's opinion 保留某人的意见|【辨析】reverse     v.逆转，彻底改变（决定、政策、趋势等）；deserve     v.值得，应受；observe     v.注意到，观察到；preserve    v.保护，维护；serve       v.（为……）工作，服务；reservation n.保留，保护；【谐音】瑞瑟舞(reserve)"：保留这项精彩节目。；【变形】现在分词：reserving
weaken|v. 削弱，变弱|The soldiers' morale began to weaken due to food shortage.|由于粮食短缺，士兵们的士气开始低落。|a weakened chairman 一个地位不稳的董事长|【辨析】weakness n.虚弱，软弱；【谐音】围啃(weaken)"：围着啃，一点点削弱敌人。
reverse|n. 相反；背面；倒档；v. 彻底转变；撤销；使颠倒；倒退；adj. 相反的；背面的|He reversed the coin and examined it carefully.|他把硬币倒过来，仔细检查。|in reverse 反向；相反|【辨析】reserve    v.预订；diverse    adj.不同的，各式各样的；reversible adj.可逆的，可恢复原状的，可医治的；revise     v.改变，修正；reveal     v.揭示，透露；converse   v.谈话，交谈；【谐音】河死(reverse)"：河流如果反转倒流，就会干涸。；【变形】现在分词：reversing
enhancement|n. 增强，改善|Music is an enhancement to the movie's appeal.|配乐是对这部电影的感染力的一个提升。|curriculum enhancement 课程优化；ring enhancement 环形增强（放射科诊断的一个描述语言，多指脓肿的形态）|【辨析】enforcement   n.执行，实施；enhance       v.增强，提高，改善；reinforcement n.援兵，增援部队（reinforcements）
internal|adj. 内部的，内心的；存在于组织内的|His internal organs got injured.|他的内脏受损了。||【辨析】interval      n.间隔，间隙；external      adj.外部的，外面的；interior      adj.内部的，里面的；eternal       adj.永恒的，永存的；international adj.国际的，国际上的；inner         adj.内部的，靠近中心的；【谐音】因他闹(internal)"：我们内部就他最闹。
flexibility|n. 灵活性；弹性|The regulations are strict and do not allow much flexibility .|这些规定很严格，不允许有太大的灵活性。|flexibility of mind 头脑灵活|【辨析】flexible adj.灵活的；【谐音】福瑞克是背了题(flexibility)"：所以才这么灵活应答，有弹性。
scenery|n. 风景；舞台布景|We stopped at the top of the hill to admire the spectacular scenery .|我们在山顶驻足，赞美那壮丽的景色。|natural scenery 自然风景； magnificent scenery 壮丽的风景； impressive scenery 令人难忘的风景；|【辨析】scene     n.事发地，现场；scent     n.香味，芳香；screen    n.屏幕，荧光屏；sense     n.感觉官能（即视、听、嗅、味、触五觉）；secretary n.秘书；【谐音】see那里(scenery)"：导游说，看那里的风景不错！；【变形】复数形式：sceneries
sacrifice|v. 牺牲，献出；献祭；n. 牺牲；祭品；献祭|Her parents made sacrifices so that she could have a good education.|为了让她受良好的教育，她的父母作了很多牺牲。|make sacrifice 做出牺牲；make some sacrifice 做出牺牲；|【辨析】sacrificial adj.牺牲的，献祭的；certificate n.证明，证书；sacred      adj.神的，神圣的；scarce      adj.缺乏的，不足的；scarcely    adv.勉强，几乎不；【谐音】sad face(sacrifice)"：为牺牲的同志露出悲伤的表情。
sexual|adj. 性（行为）的；生殖的|Steps have been taken towards ending sexual discrimination.|已经采取了一些措施来消除性别歧视。|sexual violence 性侵犯，性暴力；sexual life 性生活 sexual relations性生活 sexual excitement 性兴奋|【辨析】sex        n.性行为，性交；sexy       adj.性感的，引起性欲的；homosexual n.同性恋者（通常指男性）
chaotic|adj. 混乱的|The house is a bit chaotic at the moment as we're still decorating.|因为我们还在装修，所以房子现在有点乱。||【辨析】chronic   adj.（疾病）慢性的，长期的；chronicle n.编年史，大事记；【谐音】超体(chaotic)"：电影里主角的大脑一片混乱。
accordingly|adv. 因此；相应地|A qualified teacher should know the importance of teaching different students accordingly .|一名合格的教师应当懂得因材施教。|crocodile tears 鳄鱼的眼泪|【辨析】according  adj.相符的；accordance n.按照，依据，与……一致（in accordance with）；accord     n.协议，条约；【谐音】阿考丁利(accordingly)"：因此才能减肥。
modify|v. 调整，修改；修饰|They were forced to modify their policy.|他们被迫对政策进行修改。||【辨析】rectify v.<正式>纠正，矫正；【谐音】摩登范(modify)"：是修饰过的，更改过的。；【变形】过去式：modified；过去分词：modified
alike|adj. 相似的；相同的；adv. 相同地，相似地|Good management benefits employers and employees alike .|良好的管理对雇主和雇员同样有利。|look alike 看起来像；alikeness相像|【辨析】like    prep.像，如同；unlike  prep.不像，和……不同；dislike v.不喜欢，厌恶；likely  adj.可能发生的；【谐音】一喜欢(alike)"：就相同。
midday|n. 中午，正午|She had a midday meal after the yoga class.|上完瑜伽课后她吃了顿午饭。||【谐音】眯一觉(midday)"：每天正午必须得眯一觉。
whom|pron. 谁，什么人|To whom should I write?|我应该把信写给谁？||【辨析】who   pron.谁；worm  n.蠕虫；whose pron.谁的（疑问代词）；whole adj.全部的，整个的；【谐音】吼谁(whom)"：你吼谁？用于询问动作的宾语。
clarity|n. 清晰；清楚，明确|Any law to be made requires clarity to avoid misunderstanding or confusion.|任何即将制定的法律都应当清晰明了，以避免误解与困惑。||【辨析】clarify  v.澄清，阐明；classify v.把……分类，把……分级；clerical adj.文书的，办事员的；certify  v.证明，证实；【谐音】克拉日替(clarity)"：像钻石克拉一样清晰明了。；【变形】复数形式：clarities
soccer|n. 足球|We watched a soccer match at school.|我们在学校看了场足球赛。|clamp down on 对...进行压制|【辨析】saucer n.茶碟，茶托，碟状物；sock   n.短袜；sauce  n.酱，调味汁；score  n.（游戏或比赛中的）得分，比分；【谐音】骚客(soccer)"：文人骚客不喜欢足球。
voice|n. 声音；发言权；意见；v. 表达|She has a sweet voice .|她嗓音甜美。|with one voice 异口同声；have a voice in 在…有说话权/发言权； with one voice 异口同声；at the top of one's voice 很高声地喊|【辨析】vice     n.堕落，邪恶；nice     adj.美好的，令人愉快的；device   n.装置，设备；noise    n.噪音，嘈杂声；service  n.公共服务系统，公共事业；virtue   n.高尚的道德，德行；advise   v.通知，告知；violence n.暴力，暴行；【谐音】我爱死(voice)"：我爱死这个声音了。；【变形】现在分词：voicing
fluctuate|v. 波动；起伏不定|My weight fluctuated wildly depending on how much I ate.|我的体重根据我的食量而波动。|fluctuate narrowly 张罗不大，浮动范围狭小|【辨析】fracture n.破裂，断裂；【谐音】夫拉克求爱的(fluctuate)"：追求爱情时内心波动、起伏不定。；【变形】现在分词：fluctuating
measurable|adj. 可测量的；显著的|The law has had measurable effect since it was introduced.|这项法律自推行以来已经产生了明显的效果。||【辨析】miserable   adj.痛苦的，使人难受的；measure     n.措施，办法；measurement n.（通常以数字形式呈现的）测量结果；【谐音】卖水不(measurable)"：可以测量的水，形容可衡量的事物。
destructive|adj. 破坏性的|The government had made a policy that later proved destructive to the economy.|政府制定了一条后来证实是危害经济的政策。||【辨析】destruction  n.破坏，摧毁；instructive  adj.有教益的，有启发性的；disruptive   adj.引起混乱的，破坏的；construction n.建造，建筑；【谐音】敌司抓个特务(destructive)"：具有破坏性和毁灭性的打击。
positive|adj. 积极的，乐观的；赞同的；正面的；确信的；阳性的；n. 优点；阳性|She tried to be more positive about her new job.|她力求对新工作更有信心。|take a positive action 采取积极的行动；Positive Analysis 实证分析；a positive answer 肯定的回答；a positive demand明确的要求|【辨析】position  n.位置，地点；passive   adj.消极的，被动的；opposite  adj.完全相反的，截然不同的；active    adj.好动的；negative  adj.否定的，拒绝的；objective n.目的，目标
ham|n. 火腿（肉）|He made a ham sandwich.|他做了一个火腿三明治。||【辨析】hum    v.哼（曲子）；dam    n.堤，坝；jam    n.果酱；harm   n.伤害，损害；hammer n.锤子，榔头；【谐音】哈姆(ham)"：火腿上有汗毛？指火腿。；【变形】过去式：hammed；过去分词：hammed；现在分词：hamming
afterwards|adv. 后来，以后|She told me what happened afterwards .|她告诉了我后来发生的事情。|soon afterwards 不久以后|【辨析】afterward adv.以后，后来；aftermath n.（战争、风暴、事故的）后果，余波；outwards  adv.向外地；backwards adv.向后；inwards   adv.向内地
impress|v. 使钦佩；使留下印象|He impressed her with his sincerity.|他的真诚让她印象深刻。|impress on 给…留下印象 /impress upon 使牢记；给…留下印象；留下印记|【辨析】depress    v.使抑郁，使沮丧；express    v.表达，表露；impressive adj.给人印象深刻的，令人钦佩的；impression n.印象，感想；press      n.新闻工作者，新闻界（the press）；pressing   adj.（问题，需求，情况）紧迫的，迫切的；pressure   n.压力，挤压
stability|n. 稳定（性），稳固（性）|It was a time of political stability and progress.|那是一个政治稳定和进步的时期。|social stability 社会稳定；To sum up 总之；political stability 稳定的政治局势|【辨析】liability  n.（法律上应承担的）责任，义务；stabilize  v.（使）稳定，稳固；stable     adj.稳定的，牢固的；stationary adj.不动的，静止的；【谐音】是他背了题(stability)"：他背题后成绩变得稳定。
ice-cream|n. 冰淇淋|The sale of ice-cream is partly determined by the weather.|冰淇淋的销量部分取决于天气。||【辨析】cream n.奶油，乳脂；【谐音】爱斯可瑞木(ice-cream)"：冰淇淋，让人爱不释口的甜点。
derive|v. 源自；从…中获得|The name of the film character is believed to derive from a Greek word.|这个电影角色的名字被广泛认为是源自一个希腊语词汇。|derive from 源自于；derive a from b 从B中等到A|【辨析】thrive   v.茁壮成长，兴旺，繁荣；strive   v.努力，力争；deprive  v.剥夺，使丧失；arise    v.产生，出现；contrive v.谋划，策划；【谐音】地(de)里(ri)涌(ve)"：地里涌出一条河(river)，这是河的起源。；【变形】现在分词：deriving
argue|v. 争吵，争论；证明，表明|We're always arguing with each other about money.|我们总是为钱吵嘴。|argument n 争论，辨论；论据，理由；in arguing - 在争论中；argue sb into doing 说服做argue sb out of doing sth说服不做|【辨析】argument n.争论，争吵；【谐音】阿Q(argue)"：阿Q是一个爱争辩的人。；【变形】现在分词：arguing
theft|n. 盗窃（罪）|Police are investigating the theft of computers from the company's offices.|警方正在调查这家公司办公室里的计算机失窃案。|IP theft 侵犯知识产权|【辨析】thief n.贼，小偷，偷窃犯；shelf n.搁板，架子；chief adj.首要的，主要的；【谐音】赛福特(theft)"：小偷偷窃的速度比福特还快。联想：这(the)福特(ft)是偷来的。
generosity|n. 慷慨，大方|He is a man of great generosity of spirit.|他是一位宽容大度的人。|a spark of 一丁点|【辨析】curiosity  n.好奇心，求知欲；generous   adj.慷慨的，大方的；generation n.一代（人）；generally  adv.笼统地，大概；generalize v.概括，归纳；generate   v.产生，引起；generator  n.发电机；general    adj.总体的，普遍的；gene       n.基因，遗传因子；【谐音】借了我(genero)城市(sity)"：借给我一座城市，太慷慨大方了。
recovery|n. 恢复；复苏；回收利用|Economic recovery takes time.|经济复苏需要时间。|economic recovery 经济复苏；recovery from 从…中恢复|【辨析】recover   v.恢复（健康，精神，体力）；discovery n.发现，被发现的事物；uncover   v.揭露，发现；cover     v.覆盖，遮盖；restore   v.恢复（某种情况或感受）；【谐音】瑞夸我嘞(recovery)"：被夸奖后恢复自信。；【变形】复数形式：recoveries
chop|n. 砍，劈，剁；猪排，羊排；v. 砍，劈，剁；（大幅）削减|We had lamb chops for dinner.|我们晚餐吃了羊排。|chop off 砍掉；pork chop 猪排；chop sth down 砍伐，伐倒|【辨析】chip  n.炸薯条，炸薯片；shop  n.商店，店铺；choke v.窒息，噎住，卡住；chew  v.咀嚼，嚼碎；【谐音】樵夫(chop)"：樵夫砍柴。；【变形】过去式：chopped；过去分词：chopped；现在分词：chopping
lip|n. 嘴唇|The assistant pursed her lips .|那女助手噘起了嘴。|my lips are sealed 有口难言；lip gloss 唇膏|【辨析】lap  n.（人坐下时的）大腿面，膝上；sip  v.小口喝，抿；hip  n.臀部，髋；rip  v.（使）撕裂，（使）划破；tip  v.（使）倾斜，（使）斜侧；dip  v.浸，蘸；lid  n.（容器的）盖，盖子；lick v.舔，舔吃；drip v.滴下，滴出；rib  n.肋骨
authoritative|adj. 专断的；命令式的；权威的|The book is an authoritative account of the Cold War.|这本书对冷战作了非常权威的记述。||【辨析】authorization n.批准书，授权书；authorize     v.批准，许可；【谐音】我说了(author)跳舞(itative)"：说话很有权威的人。
arrow|n. 箭；箭头（符号）|He shot an arrow into the air.|他朝空中射出一支箭。|bow and arrow 弓和箭|【辨析】allow   v.允许，准许；narrow  adj.狭窄的，狭小的；sorrow  n.悲伤，悲痛，悲哀；borrow  v.借，借入；arrest  v.逮捕，拘留；shadow  n.阴影，影子；arrival n.到达，到来；【谐音】嗷肉(arrow)"：被箭射中时的惨叫声。
surgery|n. 外科手术；手术室|Her mother has just recovered from heart surgery .|她母亲刚从心脏手术中恢复过来。|oral surgery 口腔门诊|【辨析】surgeon  n.外科医生；survey   n.民意调查，民意测验；surgical adj.外科的，外科手术的；【谐音】搜救(surgery)"：外科手术就像搜救一样。；【变形】复数形式：surgeries
field|n. 田，地；学科；领域；野外；adj. 田间的；野外的；实地的|People were working in the fields .|人们在田间劳动。|It's her field 这是她的本行；soccer field 足球场；track and field 田径；field supervision 实地监督|【辨析】yield v.产生（收益、效益等），产生（结果）；file  n.文件夹（或箱、柜等）；【谐音】肥沃的(field)"：田地肥沃。
throat|n. 喉咙|I had a sore throat .|我喉咙疼。|sticks in my throat 耿耿于怀；have a sore throat 喉咙痛；stick in one's throat 如鲠在喉，耿耿于怀，有口难言|【辨析】threat  n.威胁，恐吓；thread  n.线；throw   v.投，掷，抛，扔；toast   n.烤面包片，吐司；thirsty adj.渴的，口渴的；roast   v.炙，烘（食物，尤指肉）；tooth   n.牙，齿；【谐音】肉(thro)的(at)"：喉咙是肉的。
emergency|n. 紧急情况|The government has declared a state of emergency following the earthquake.|地震发生后政府已宣布进入紧急状态。|emergency room 急诊室；in emergency 在紧急情况下；emergency switch 紧急开关；emergency funding 应急基金；emergency landing 紧急迫降|【辨析】emergence n.出现，显现；emerge    v.浮现，出现；urgency   n.紧急，迫切；agency    n.代理行，经销处；【变形】复数形式：emergencies
persistence|n. 坚持不懈；执意；持续存在|The doctor couldn't explain the persistence of the fever.|医生无法解释高烧何以持久不退。||【辨析】persistent   adj.执意的，坚持不懈的；insistence   n.坚决要求，坚持主张；persist      v.继续存在，持续；perseverance n.毅力，不屈不挠的精神；resistance   n.反对，抵制；assistance   n.帮助，援助；persevere    v.锲而不舍，坚持不懈；consistent   adj.始终如一的，一贯的
dismissal|n. 解雇；不予考虑；解散|Many employees firmly oppose the unfair dismissal and are claiming for compensation.|许多员工坚决反对这种不公平的解雇，并要求赔偿。|unfair dismissal 不公正解雇|【辨析】dismay  n.担忧；missile n.导弹，飞弹
chopstick|n. 筷子|Foreign visitors to China are likely to fret about not knowing how to use chopsticks .|来中国旅游的外国游客有可能会因为不会用筷子而苦恼。|a pair of chopsticks 一双筷子|【辨析】tick n.<英>钩号
slightly|adv. 稍微地，些许地|Our new house isn't that big, but slightly larger than before.|我们的新家没有那么大，但比之前的大一点儿。||【辨析】slight  adj.轻微的，少量的；sight   n.视力，视觉；light   n.光，光线；delight n.高兴；insight n.洞悉，了解；【谐音】斯莱特林(slightly)"：哈利波特稍微有一点进入斯莱特林的潜质。
ass|n. 屁股；驴子；蠢货|He acts like an ass .|他表现得像个傻子一样。|kick your ass 揍你；bust one's ass 十分努力地做某事|【辨析】ash n.（香烟或木头等的）灰；【变形】复数形式：asses
championship|n. 冠军地位；锦标赛|The world championships will be held in China next year.|世界锦标赛将于明年在中国举行。|world swimming championships 世界游泳锦标赛；go all out 全力以赴|【辨析】champion     n.冠军，第一名；relationship n.（人、团体、国家等相互间的）关系；【谐音】全凭船(ship)"：他才得到了那个冠军身份。
impatience|n. 不耐烦；急切|He waited for her arrival in a fever of impatience .|他急切地等待她到来。||【辨析】impatient adj.不耐烦的，没有耐心的；patience  n.耐心；【谐音】因陪审死了(impatience)"：法官显得很不耐烦和急躁。
excellence|n. 优秀，杰出|The scholar won a worldwide reputation for his academic excellence .|这位学者以其学术上的卓越成就在全世界享有盛名。|excel at 突出；擅长于|【辨析】excel v.精通，擅长；【谐音】俺可是人士(excellence)"：我可是卓越的人士。
dive|v. 潜水；跳水；俯冲；暴跌；n. 潜水；跳水；俯冲|It is his job to dive for pearls.|潜水采珍珠是他的工作。|make a dive for 向。。。猛冲；take a dive 突然下降，骤然暴跌；dive into 潜入；跳入|【辨析】dine      v.进餐，吃饭；dove      n.鸽子；drive     v.驾车送（人）；diverse   adj.不同的，各式各样的；devil     n.魔鬼；diversity n.多样性，多样化；【谐音】带我(dive)"：潜水带我！我一直想要潜水。；【变形】过去式：dived/dove；过去分词：dived/dove；现在分词：diving
waterproof|adj. 防水的|This coat is waterproof , and can keep you dry on rainy days.|这件外套是防水的，你在下雨的时候穿上不会被淋湿。|waterproof materials 防水材料|【辨析】proof      n.证明，证据；watertight adj.（容器或房间）防漏水的，水密的；【谐音】water不入(proof)"：防水的。
merry|adj. 愉快的|She bursted out a merry laughter.|她发出欢乐的笑声。|Merry Christmas 圣诞快乐|【辨析】mercy  n.仁慈，宽恕；marry  v.结婚，嫁，娶；berry  n.浆果，莓；ferry  n.渡船，摆渡；merit  n.优秀品质，价值；cherry n.樱桃；misery n.痛苦，苦难；【谐音】迈瑞(merry)"：是欢乐的。Merry Christmas 圣诞快乐！
sore|adj. 酸痛的；n. 疮，痛处|I can't go to work today because my muscles are sore from too much exercise yesterday.|我今天没法上班了，因为昨天锻炼过度，肌肉酸痛。|be sore about 对……痛心、发怒；sore throat 喉咙疼|【辨析】sole  adj.唯一的，仅有的；core  n.果核；bore  v.使厌烦，使讨厌；sort  n.种类，品种；sour  adj.酸的，酸味的；score n.（游戏或比赛中的）得分，比分；soar  v.（数量、价值、水平、规模等）急升，猛涨；【谐音】烧(sore)"：非常烫，形容疼痛的。；【变形】比较级：sorer；最高级：sorest
jaw|n. 颌骨，下巴|He punched me on the jaw .|他一拳打中我的下巴。|the jaw of death 鬼门关|【辨析】law  n.法律（体系）；saw  n.锯；paw  n.（动物的）爪子；jar  n.玻璃罐，广口瓶；jam  n.果酱；raw  adj.生的，未煮过的；jet  n.喷气式飞机；jog  v.慢跑；claw n.（动物的）爪，爪子；chew v.咀嚼，嚼碎；【谐音】嚼(jaw)"：用下巴嚼东西。
sort|n. 种类；v. 整理，把…分类|This sort of problem is quite common.|这类问题相当普遍。/这几类问题相当普遍。|sort through 整理；out of sorts 心情不佳；out of sort 心情不好；sorts of 各种各样的|【辨析】sore   adj.（发炎）疼痛的，酸痛的；sour   adj.酸的，酸味的；resort n.旅游胜地，度假胜地；【谐音】扫他(sort)"：按垃圾的种类去扫他。
tennis|n. 网球|He is a famous tennis player.|他是著名的网球运动员。||【辨析】tense adj.紧张的，焦虑的；ten   num.十个，十
curve|n. 曲线，弧线；v. （使）弯曲|The curve of his lips attracts many young women.|他嘴唇的曲线迷倒了许多年轻女性。||【辨析】curse n.骂人话，咒骂语；curb  v.控制，抑制；curl  v.（使）弯曲，卷曲；carve v.雕，刻；crave v.渴望；curly adj.（头发）卷曲的，鬈曲的；cave  n.洞穴，山洞；【谐音】可恶(curve)"：学习曲线很可恶。；【变形】现在分词：curving
geometric|adj. 几何（学）的|This model represents geometric population growth.|这个模型代表了呈几何级数的人口增长。||【辨析】geometry   n.几何，几何学；geographic adj.地理的，地理学的；【谐音】今儿没缺课(geometric)"：去上了几何学。
gum|n. 口香糖；齿龈|It is very impolite to chew gum in front of guests.|在客人面前嚼口香糖是不礼貌的。|chewing gum 口香糖，泡泡糖；chew gum 嚼口香糖|【辨析】gut  n.肠，肠道；guy  n.<非正式>男人，家伙；gulf n.海湾；germ n.病菌，细菌；glue n.胶水；gay  adj.同性恋的；【谐音】尬吗(gum)"：用树胶把口香糖粘在牙龈上，尴尬吗？
ornament|n. 装饰品；首饰；摆设；v. 装饰，美化|There is an ornament made of shells on the wall.|墙上有一个贝壳做成的装饰品。|for ornament 以作装饰; be ornamented with sth. 用....装饰；or name nt-- 哦，以名字命名的装饰品|【辨析】orient v.朝向，面对，使适合；【谐音】我那门的(ornament)"：我那门上有许多装饰。
cost|n. 费用；成本；代价；v. 要价；使丧失；使付出|A new computer system has been installed at a cost of 80000 pounds.|新的计算机系统已安装，费用为8万英镑。|at all costs 不惜一切代价；drive up costs 抬高成本|【辨析】coat  n.外套，大衣；cast  vt.投射（光，影）；coast n.海岸，海滨；coal  n.煤；coach n.教练；【谐音】靠死他(cost)"：依靠他人付出，表示花费或代价。；【变形】过去式：cost；过去分词：cost
absolute|adj. 十足的；肯定的；绝对的|I have absolute trust in her.|我绝对信任她。|an absolute truth 绝对真理 absolute music 纯音乐 absolute trust 绝对的信任；absolute disgrace 非常丢脸|【辨析】absolutely adv.绝对地，完全地；resolute   adj.坚决的，果断的；isolate    v.孤立，分离；【谐音】阿伯扫路特(absolute)"：路扫得绝对、特别干净。
bunch|n. 束，扎，串；大量|She only had a bunch of grapes for lunch.|她午饭只吃了一串葡萄。||【辨析】bench  n.长凳，长椅；lunch  n.午餐，午饭；punch  n.一拳，一击；batch  n.一批，一批生产量；beach  n.海滩，海滨；brunch n.早午餐；branch n.树枝，分枝；bounce v.弹起，反弹；brush  n.刷子，画笔；bundle n.束，捆，包；【谐音】绑吃(bunch)"：绑在一起吃的一串食物或一伙人。；【变形】复数形式：bunches
supremacy|n. 至高无上；霸权|The allies have established maritime supremacy .|盟国已经建立了海上霸权。||【辨析】supreme adj.最高的，至高无上的；【谐音】苏帕梅西(supremacy)"：超级球星梅西在足球界有至高无上的地位。
trafficking|n. 非法交易|Drug trafficking is punishable by death.|贩毒可被判死刑。|sex trafficking 性交易；human trafficking 人口贩卖
